年,月,日,レーティング
2013,4,11,1369
2013,5,29,1367
2013,6,18,1358
2013,6,25,1365
2013,7,9,1359
2013,7,16,1355
2013,8,1,1351
2013,8,6,1362
2013,8,13,1375
2013,8,29,1371
2013,9,6,1382
2013,9,24,1378
2013,10,1,1391
2013,10,22,1397
2013,10,29,1393
2013,11,8,1384
2013,11,26,1383
2013,12,17,1393
2013,12,24,1403
2013,1,8,1398
2013,1,24,1395
2013,2,4,1406
2013,2,20,1400
2013,3,4,1393
2013,3,18,1403
2013,3,25,1397
2014,4,1,1394
2014,6,10,1388
2014,6,25,1383
2014,7,8,1378
2014,7,18,1389
2014,8,26,1401
2014,9,2,1394
2014,9,16,1391
2014,9,24,1388
2014,10,16,1383
2014,10,28,1383
2014,11,6,1379
2014,11,25,1377
2014,12,11,1369
2014,12,16,1366
2014,12,26,1360
2014,1,6,1366
2014,1,14,1364
2014,2,3,1368
2014,2,17,1377
2014,2,20,1372
2014,2,20,1381
2014,2,20,1391
2014,2,24,1400
2014,3,10,1393
2014,3,20,1406
2014,3,31,1403
2015,6,11,1395
2015,6,18,1392
2015,7,2,1384
2015,7,10,1377
2015,7,30,1373
2015,8,2,1370
2015,8,7,1368
2015,8,25,1361
2015,9,10,1370
2015,10,1,1378
2015,10,20,1373
2015,10,30,1384
2015,11,19,1380
2015,11,26,1373
2015,12,17,1387
2015,12,25,1394
2015,1,9,1406
2015,1,15,1399
2015,1,20,1395
2015,2,4,1391
2015,2,12,1396
2015,3,3,1402
2015,3,8,1396
2015,3,17,1389
2015,3,29,1387
2016,4,22,1385
2016,4,28,1399
2016,5,17,1394
2016,6,2,1393
2016,6,23,1389
2016,7,1,1402
2016,7,1,1412
2016,7,7,1407
2016,8,5,1415
2016,8,19,1405
2016,8,19,1416
2016,8,25,1415
2016,9,23,1426
2016,9,30,1423
2016,10,7,1417
2016,11,1,1412
2016,11,24,1421
2016,12,15,1428
2016,1,12,1422
2016,1,19,1417
2016,1,24,1421
2016,2,2,1415
2016,2,9,1424
2016,2,14,1421
2016,2,21,1409
2016,3,2,1405
2016,3,23,1401
2017,6,8,1395
2017,6,23,1389
2017,7,13,1385
2017,8,1,1377
2017,8,7,1371
2017,8,15,1365
2017,8,26,1376
2017,9,7,1375
2018,4,26,1389
2018,6,5,1398
2018,6,22,1390
2018,6,26,1385
2018,7,13,1381
2018,7,26,1404
2018,8,14,1401
2018,8,21,1397
2018,8,21,1401
2018,8,30,1409
2018,9,11,1407
2018,9,20,1401
2018,9,27,1396
2018,10,4,1394
2018,10,10,1387
2018,11,8,1379
2018,11,29,1375
2018,12,13,1385
2018,12,20,1379
2018,1,11,1387
2018,1,17,1397
2018,1,23,1390
2018,2,1,1384
2018,2,8,1378
2018,2,14,1391
2018,3,7,1383
2019,4,24,1378
2019,5,10,1387
2019,5,16,1382
2019,7,3,1378
2019,8,9,1366
2019,8,13,1380
2019,8,21,1386
2019,9,13,1394
2019,9,19,1389
2019,10,5,1385
2019,12,26,1380
2019,1,10,1373
2019,1,22,1370
2019,2,17,1362
2020,7,2,1358
2020,7,2,1368
2020,7,13,1361
2020,7,21,1357
2020,8,18,1350
2020,9,1,1346
2020,9,1,1356
2020,9,16,1353
2020,11,16,1348
2020,12,14,1347
2020,12,24,1343
2020,2,3,1341
2021,5,24,1326
2021,5,31,1322
2021,6,18,1319
2021,7,20,1315
2021,7,30,1312
2021,8,11,1319
2021,8,25,1315
2021,9,2,1309
2021,12,1,1308
2021,1,12,1302
2021,1,21,1313
2021,2,18,1310
2021,2,25,1304
2022,4,5,1301
2022,5,19,1295
2022,7,13,1290
2022,8,5,1286
2022,8,17,1283
2022,8,24,1278
2022,10,21,1272
